title,Seasons,Cancelled,genre,Country,Type,Premiere Year,Finale Year
Larva Island,2.0,0.0,Kids,,TV Show,2018,2019.0
She-Ra and the Princesses of Power,5.0,0.0,Kids,United States,TV Show,2018,2020.0
Kulipari: Dream Walker,1.0,1.0,Kids,,TV Show,2018,2018.0
Motown Magic,2.0,0.0,Kids,"Australia, United States, Australia",TV Show,2018,2019.0
3Below: Tales of Arcadia,2.0,0.0,Kids,United States,TV Show,2018,2019.0
Pinky Malinky,3.0,0.0,Kids,United States,TV Show,2019,2019.0
Carmen Sandiego,4.0,0.0,Kids,United States,TV Show,2019,2021.0
YooHoo to the Rescue,3.0,0.0,Kids,South Korea,TV Show,2019,2020.0
Charlie's Colorforms City,6.0,0.0,Kids,United States,TV Show,2019,2022.0
Mighty Little Bheem,3.0,0.0,Kids,,TV Show,2019,2020.0
Twelve Forever,1.0,1.0,Kids,United States,TV Show,2019,2019.0
Spirit Riding Free: Pony Tales,2.0,0.0,Kids,United States,TV Show,2019,2019.0
Archibald's Next Big Thing,2.0,0.0,Kids,,TV Show,2019,2020.0
The Last Kids on Earth,3.0,0.0,Kids,United States,TV Show,2019,2020.0
Dragons: Rescue Riders,2.0,0.0,Kids,United States,TV Show,2019,2020.0
Legend Quest: Masters of Myth,1.0,1.0,Kids,Mexico,TV Show,2019,2019.0
Hello Ninja,4.0,0.0,Kids,United States,TV Show,2019,2021.0
Green Eggs and Ham,2.0,0.0,Kids,"United Kingdom, Canada, United States, United Kingdom",TV Show,2019,2022.0
Fast & Furious Spy Racers,6.0,0.0,Kids,United States,TV Show,2019,2021.0
Go! Go! Cory Carson,6.0,0.0,Kids,United States,TV Show,2020,2021.0
Kipo and the Age of Wonderbeasts,3.0,0.0,Kids,United States,TV Show,2020,2020.0
Glitch Techs,2.0,0.0,Kids,United States,TV Show,2020,2020.0
Buddi,2.0,0.0,British TV,"United Kingdom, China, United Kingdom",TV Show,2020,2020.0
Spirit Riding Free: Riding Academy,2.0,0.0,Kids,United States,TV Show,2020,2020.0
StarBeam,4.0,0.0,Kids,United States,TV Show,2020,2021.0
